No,Text,location,status
31,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","Eleuthera, Bahamas",pos
32,RT @Polys67: @GCroker9 @givEmkeL @nfbrennan @realDonaldTrump incorrect! Saved 1k jobs by cutting $7M in taxes over 10yrs 😘 oh and he's not…,United States,pos
33,"Oh, it's funny @realDonaldTrump, so get use to it.
If Goerge Bush could handle w/ Lil' Bush, you can deal w/ @nbcsnl https://t.co/XMssLy0MSS","wauwatosa, wi",neu
34,@ArtemR @realDonaldTrump @nbcsnl Me too! 😂😂😂,"Tacoma, WA",neg
35,"RT @runswithwaves: @realDonaldTrump um you're going to be the leader of the free world &amp; you're watching SNL? And on Twitter? 
Now that's s…","Norman, OK",pos
36,RT @ColMorrisDavis: No time to attend national security briefings but time to do this ... the very not presidential @realDonaldTrump https:…,Midwest,neg
37,@SliceofPizzaHRC @realDonaldTrump Trump followers r harassing trolls that hate free speech -dont tweet me like you care abt my rights! #,"Manhattan, NY",neg
38,"@realDonaldTrump Don't Tweet if you can't take the heat.
#truthhurts #SNL #itsfunnybecauseitstrue",Neosho,neu
39,"@softbutchkate @realDonaldTrump true. he has so few opinions, but they're all shit so it sounds like he has a lot more than he actually does","Woodstock, GA",pos
40,RT @HarveyLawson1: #TrumpLeaks  China's President Xi Jinping makes a personal call to @HillaryClinton requesting more info on the status of…,Retired Military Pilot NC,neg
41,@realDonaldTrump it's so easy (and fun) to mimic your style and verbiage on Twitter. Wow!,"Boston, MA",pos
42,@Polys67 @neob82201 @GCroker9 @givEmkeL @nfbrennan @realDonaldTrump not a 1000 jobs just 800 and still lost 1300 in a country of millions,NYC,neg
43,"RT @brunelldonald: Midnight prayers 4 the sick + shut in, homeless, unemployed, domestic violence victims, PE @realDonaldTrump + VPE… ",The Heartland,neg
44,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94","Pittsburgh, PA",pos
45,"Buddy, my attic is not an industry and I would have had to have succeeded at some point to have failed https://t.co/5ZJTovGx7L","Westchester, New York ",neg
46,I'm looking forward to watching SNL tomorrow to see if anything was on but im guessing something was. https://t.co/DJmcqNEbAZ,"calgary, ab. canada",neg
47,RT @cparkeast1: @realDonaldTrump you're crazy. Really. He does a great you. https://t.co/RiBocE7k4A,"San Francisco, CA USA",pos
48,"RT @tyleroakley: @realDonaldTrump honestly, seek therapy. this will be a long four years if you can't cope with us reacting to you. YOU SIG…","Dallas, Texas ",pos
49,@realDonaldTrump yeah they make fun of the president on that show... and you are like...if they could write a president to make fun of,"Florida, USA",pos
50,"@ABFalecbaldwin @realDonaldTrump
Alec you're pathetic. Why not do something productive with your life? Hollywood is yesterday.",United States,neg
51,". @realDonaldTrump funny, thats the same reaction I had to your  win, ass hat",Atlanta,pos
52,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","Mutriku, España",pos
53,RT @thebenshow: .@realDonaldTrump did you know Alec Baldwin is Muslim?,Northern Virginia,neu
54,"RT @TheDarklady: .@realDonaldTrump No, what's sad is how spot on #SNL has been. Stop watching TV and start attending your damn security bri…",Little Rock,neg
55,@realDonaldTrump Yo pops - go to bed.  You and Jared got lots of companies and countries to shake down tomorrow!  #MakeAmericaGreatAgain,"New York, NY",neg
56,"RT @lynnlary: Natl unemployment rate dropped to 4.6 percent, the lowest level since President George W. Bush. Obama=16,000,000 jobs. @realD…",Texas,neg
57,This exchange is ev-ah-ree-thing! https://t.co/LnIDV3TsqA,"Arkansas, USA",neg
58,"@realDonaldTrump Your imitation of yourself is less authentic than Baldwin's impersonation of you. You don't seem that human, really.","Key West, FL",neu
59,And again Trump Empire wins the scam game. https://t.co/i55E33joIw,central IL,neg
60,@realDonaldTrump whatcha gonna do when other countries or your own citizens criticize you?  Grow thicker skin man,"La Mirada, CA",neg
61,Gas lighting https://t.co/3i1oS3gdBZ,Dixie,neg
62,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94",Indianapolis,pos
63,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94","Texas, USA",pos
64,@realDonaldTrump they were joking on u mane lol,"Edenton, NC",pos
65,"@N_4_B @realDonaldTrump EXACTLY! Go READ the Constitution, try to figure it out! Geez...",Earth,neu
66,RT @usfortrump: Praying for victims of #oaklandfire @realDonaldTrump,Alaska,neg
67,Well @realDonaldTrump critiques @nbcsnl to deflect attention away from his diplomatic disasters this week. Focus #msm!,"Boulder, CO  ",neu
68,"@LueYee @TOOEdit @DanaRohrabacher @realDonaldTrump What's the point of having him as deputy? Bolton shouldn't be anywhere, no point!",Constantinople,pos
69,RT @davelozo: .@realDonaldTrump also you are mad I voted seven times for Hillary Clinton,"Brooklyn, NY",neg
70,"RT @gqforbes4: ""You are a great friend of Israel!"" @IsraeliPM Benjamin Netanyahu congratulates his friend, @realDonaldTrump https://t.co/9L…",Florida ,neg
71,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94",The Ground,pos
72,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",Cincy,pos
73,RT @GroovyFeline: But - but - but - but emails! 😧@HillaryClinton @realDonaldTrump #TaiwanCall #TrumpSwamp #TheResistance https://t.co/56A30…,"Tennessee, USA",neg
74,"RT @Nanbp: .@realDonaldTrump is a spoiled, sad toddler with anger and emotional issues. https://t.co/Cul7i2DzkQ",Earth,neg
75,"@realDonaldTrump: It's just ""comedy room talk""","New York, NY",pos
76,@realDonaldTrump - I'm not sure if Donald Trump knows SNL is a comedy show. I'm not sure if he knows what comedy is....,We Ship Worldwide!,pos
77,Fox News' Bolling Shows Democrats What They Have Lost  - EVERYTHING! 12/03/16 @FoxNews @realDonaldTrump @seanhannity https://t.co/uYgucm5IAx,"Washington, USA",neg
78,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","South of St. Louis, MO",pos
79,"@realDonaldTrump Your poison injected into your supporters. Since you lead them, this alone is good enough to arrest https://t.co/2PoopJZ1ne",Manhattan,neg
80,RT @CathieMarie2014: @realDonaldTrump Most AMERICANS DONT Watch That trash. WE are aware. It's all good. Let's just #MAGA 🇺🇸👍🏻🇺🇸👍🏻,"Mission Viejo, California",pos
81,RT @BobHagh: @realDonaldTrump Your impersonation of a President is unwatchable. Sad!,Bangkok,neg
82,RT @pastormarkburns: I'm so happy that #JesusChrist &amp; #SantaClaus will be welcomed back to the White House inder @realDonaldTrump Administr…,United States,neu
83,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","Brooklyn, NY",pos
84,"RT @DanScavino: '@DrJillStein'S Michigan Recount Could Cost Taxpayers $12 Million'

#PEOTUS @realDonaldTrump gains in Wisconsin.
https://t.…","California, USA",pos
85,The badge of honor;) https://t.co/TVZsqDdFVS,"Texas, USA",neg
86,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",Oakland/Sacramento,pos
87,"RT @DanScavino: '@DrJillStein'S Michigan Recount Could Cost Taxpayers $12 Million'

#PEOTUS @realDonaldTrump gains in Wisconsin.
https://t.…","Tucson, Arizona",pos
88,.@ABFalecbaldwin is KILLING IT with his @realDonaldTrump impersonations 😂😂 https://t.co/RrYD5Tl1ok,New Jersey,neu
89,RT @raymondbraun: @realDonaldTrump I'm confused. Weren't you boasting about hosting SNL around this time last year? https://t.co/G2DO7tLpfZ,"Dallas, Texas ",neg
90,RT @Politicalpulse1: @realDonaldTrump you're the sad one. Can't tell where #snl ends and the real #trump begins . @AlecBaldwin is spot on.,"Benton Harbor, MI, U.S.A.",neg
91,"Hahahah @realDonaldTrump you're so thin-skinned! You dish it out mate, TAKE THE HEAT! https://t.co/NchyIdQuae",London,neu
92,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94",Mbs Kenya,pos
93,@MSAdvocate2001 @realDonaldTrump Am working on my next pic...,"Brisbane, Queensland",neu
94,"@realDonaldTrump Please focus on... god help us... being the most powerful man in the world and ignore comedy shows for your term, please.","Pittsburgh, Pennsylvania",pos
95,@realDonaldTrump get to work.,sea-town,neu
96,What's @realDonaldTrump doing now? You crazy fuck.,"San Francisco, CA",neg
97,".@realDonaldTrump Not watched em in 2 mos! I'm ur age, alwys watched a little, but SO BAD in past 2-5 yrs, theyr Done! We'd rather watch U!","Scottsdale, AZ",neg
98,@realDonaldTrump are you going to do this every fucking week you manchild?,The vast fields of pop culture,neu
99,@realDonaldTrump keep on watching... the more TV u watch the less time u devote to turning our country into one of YOUR crappy reality shows,nyc,neg
100,RT @_CillaW: If only @realDonaldTrump used half of the time he spent complaining about @SNLUpdate to address racist/sexist acts… ,United States,neg
101,"@realDonaldTrump Alex Baldwin Gotta admit, Tries anyway!You should invite him to the Inauguration and sit Next to Mitt Romney,Or Rudy!","Denver, CO",pos
102,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","bay area, ca",pos
103,RT @ANOMALY1: @GovMattBevin @realDonaldTrump WOW ! LOVE IT ! https://t.co/3ThKUi6i0Q,"Healdsburg, CA",pos
104,"RT @GovMattBevin: The more I get to know @realDonaldTrump, the more I respect him. KY's strong support for Trump will pay dividends https:/…","Niagara Region, Ontario CA",pos
105,President Trump knows where the Magic Wand is  and is #MAGAx3 https://t.co/hI6sLPUyub,United States,neg
106,Or you could just stop https://t.co/aAsEG0PJIp,"cumberland, VA",neg
107,@realDonaldTrump Remember this racist thing https://t.co/HFw0YkS98S - AWKWARD - you could denounce White Power hardcore &amp; lead #bigotry,"Bigly, USA",neg
108,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",Jersey,pos
109,"RT @gqforbes4: Only 3 days after the election, @realDonaldTrump already saves US $100B &amp; 448,000 jobs—by KILLING TPP (see par 5) https://t.…",FELL OFF THE BIG BROWN TRUCK,neg
110,"@realDonaldTrump totally agree big Don, can’t watch that garbage anymore they should cancel it right now.",Toronto,pos
111,What about Duck Dynasty though https://t.co/5RIGfgvx1i,Somewhere around Austin,neg
112,@realDonaldTrump how does it feel to be the worst president ever before actually taking office? You're pathetic,"Fort Worth, TX",neg
113,I'll only RT if you never stop wearing guyliner @kumailn @neilclevine @realDonaldTrump,☕️Boston Ma USA / Europe,neg
114,RT @Blob_Fish: Is this funny don? @realDonaldTrump https://t.co/6aY9qxBKtq,"Detroit, Michigan",neg
115,RT @Braveheart_USA: The Cold Hard Fact is Democrats don't believe America is exceptional. Conservatives Know America is Exceptional!… ,"Los Angeles, CA",neg
116,@realDonaldTrump @TriesteKDunn why inthe Sam Hell are you still tweeting?! Get off twitter!,Michigan,neg
117,"RT @TheYoungTurks: With the spike in hate crimes following the election of @realDonaldTrump, minorities may be purchasing more guns. https:…","Toronto, Ontario",neu
118,"@realDonaldTrump A new SNL tonight that captured EXACTLY what America thinks of you, Trump!  IT WAS PERFECT...and f… https://t.co/paOMpcaHum","Pennsylvania, USA",neu
119,@kylegriffin1 @realDonaldTrump So disturbing. Fat #Trump needs to be rejected by electors.,Los Angeles,neg
120,@realDonaldTrump poor Trumpy. A comedy sketch show is so mean. Let's hope China isn't too difficult after that conv… https://t.co/Y7HgnO7lJV,"Denton, TX ",pos
121,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","Hicksville, New York",pos
122,RT @KeithOlbermann: The Taiwan call was no more a diversion than were the crazy tweets. It's evidence @realDonaldTrump is insane. ICYMI: ht…,South Texas,neg
123,"Wish @realdonaldtrump reads this piece and works with the Muslim community in the US &amp; we can all #MAGA
https://t.co/adGBnK0yiz",TWIN CITIES,neu
124,"@realDonaldTrump When Saturday Knight Live Was Great
JOHN BELUSHI The Best Of Samurai Futaba Part 2 https://t.co/jJW0aa07H8 via @YouTube",East Texas,pos
125,"@realDonaldTrump More Than Half The Nation See's You For What You Are,  Ego Maniac.","Bronx, New York",neg
126,Don't want to move on ~ I love watching .@nbcsnl mock .@realDonaldTrump &amp; I LOVE #Trump making an ass of himself ov… https://t.co/Os1U18eHng,NWArkansas,pos
127,RT @MichaelCohen212: I stand with #PEOTUS @realDonaldTrump and his commitment to #MakeAmericaGreatAgain. RT if you stand with him as wel… ,"Tennessee, USA",pos
128,RT @KKoz03: SNL Makes Fun Of Trump’s Tweeting – So He Tweets Angry Message During Show! (VIDEO) https://t.co/zSlY2Mtsf6 @realDonaldTrump Ac…,Canada,neu
129,"@realDonaldTrump Hey STUPID, if you don't like how SNL portrays you, DON'T WATCH IT. Then we won't put up with your whiny bullshit.#GrowUp","Bellmawr, NJ",neg
130,"RT @BaileyPittipat: @realdonaldtrump 
Baldwins spot on. You have no sense of humor. You act like a little child with your whining. Grow a p…","South Carolina, USA",pos
131,@realDonaldTrump it's hilarious to know that we were sitting on the couch imagining you freaking the fuck out...waiting for the tweet 😂😂😂,so gay NJ,neg
132,RT @riotwomennn: Donald &amp; intelligence briefings  ... these things are not compatible  @realDonaldTrump #snl https://t.co/zclmZQDJux,Chicago,pos
133,"RT @Only4RM: Still no time for those intel briefings though, right? @realdonaldtrump","Detroit, Michigan",neg
134,@realDonaldTrump THEN STOP WATCHING IT!!! Damn your dumb,"Edmonton, Canadialand",neg
135,@realDonaldTrump you are a fucking legend,Burger St NW,neu
136,"@realDonaldTrump Shouldn't you be worried about presidentil things and not a TV show? Are you 5, you narcissistic ass?! Grow up!!!",Gallifrey ,pos
137,"@realDonaldTrump You missed Jennifer Aniston, Asshole. She won't give you the time of day.","New York, NY",neg
138,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",Socialist Agenda HQ,pos
139,RT @_The_Super: @POTUS Isn't this kinda like telling MSM that Trump couldn't save jobs. Wrong again Mr President. https://t.co/A0KQebhcdV,a wondering Catholic Jew,neg
140,@realDonaldTrump show is pretty terrible and leftist. Also Mary/Joseph skit offensive to #Catholics,"Calgary, AB",neg
141,"@GLMoran3 @Hayes_1971 .@realDonaldTrump Say Again, Comrade Moran 😏 #NotMyPresident https://t.co/RYpGT125Jg","California, USA",neu
142,@realDonaldTrump join team squart,Alola,pos
143,@Green_Footballs @realDonaldTrump Alec Baldwin should get an award for his excellent impersonation of tRump.,"Louisiana, USA",pos
144,"@suellen6786 Hello.Some are saying they were sorry they voted for @realDonaldTrump too late!
#OHIO I changed user name from 
@Progress4OHIO",No #RWNJ Zone!,neu
145,RT @CathieMarie2014: @realDonaldTrump Most AMERICANS DONT Watch That trash. WE are aware. It's all good. Let's just #MAGA 🇺🇸👍🏻🇺🇸👍🏻,"New York, NY",pos
146,❤❤ THIS---&gt; https://t.co/vjFLnNtlk4,"Iowa, USA",neg
147,"RT @SamHarrisOrg: Ok. Is there a person on earth who can argue that @realDonaldTrump is ethical, honest, and well-informed? https://t.co/da…","Hutchinson, Kansas",pos
148,@RexHuppke @realDonaldTrump where can a certain someone buy some skin thickener? 😉@MattSpiegel670,Chicago,pos
149,"@realDonaldTrump eh hem, you mean Foster Campbell.",United States,neu
150,@realDonaldTrump did you see the @HillaryClinton sketch? That was funny!,"Pennsylvania, USA",neu
151,"RT @Cantorina: Ummm, @realDonaldTrump does. Maybe @KellyannePolls could slip intel briefings into the SNL time slot for him https://t.co/vv…",Texas soul Maryland is my home,neu
152,RT @DineshDSouza: I'm glad @realDonaldTrump is appointing rich guys who don't need to make money off their govt posts--like some othe… ,"Texas, USA",pos
153,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",bicurious sinners™ ,pos
154,@jbarro @realDonaldTrump How the hell does the President have time to watch SNL?,Doha ✈ Los Angeles,neg
155,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","TP, IL",pos
156,BUT IN A COMA https://t.co/tq2PnMBfp8,"Chicago, IL",neg
157,"RT @DineshDSouza: Today on @ffweekend, I debated a Democratic operative on whether @realDonaldTrump won by appealing to white suprema… ",Victorville CA,pos
158,"Well, they keep changing the numbers on the menu and now that breakfast is all day... https://t.co/4LlcL5Hl6K",Internet,neg
159,@realDonaldTrump  maybe if you didn't give them so much material. Just saying!,"Pittsburgh, PA",neu
160,@JuddLegum @DebraMessing @realDonaldTrump should watch @ConanOBrien and the telecon btwn him and @POTUS,Mumbai,neu
161,"@realDonaldTrump Apparently, you have little self-awareness because Balwin nails it, week after week! I tune in just to watch him!","New York, USA",neu
162,@realDonaldTrump You are going to be (a god-awful) President. Please grow the fuck up and act like one.,United States,pos
163,RT @ArianeBellamar: Oh. Boy.  LOVE IT! @realDonaldTrump #IdiotInChief #SNL @SNLUpdate @nbc 🙌🏻#Saturdaynightlive #Trumpuppet https://t.co/M3…,Utah,neg
164,@JasumatiPatel @realDonaldTrump it's well calculated strategy of USA before investing in China. It's checkmate for China.,Sweden,pos
165,@Queeenofbacon @keyr0h @realDonaldTrump SPLC is disgusting propaganda. Worse than fake news.,USA,neg
166,@TOOEdit @realDonaldTrump Bolton hates the UN and is not a pacifist like most of the Alt-right.,Montana,neg
167,@chelseahandler @Nigel_Farage @realDonaldTrump Cross the pond...let Donald go live with him,Mars Bound InnKeepers Daughter Vegetarian Democrat formerly Independent ,neu
168,RT @ProgressOutlook: @realDonaldTrump I put more effort into ordering from McDonald's than you put into learning how to be the leader of th…,"Houston, TX",neu
169,@realDonaldTrump I cant believe this man will hold the same title as Thomas Jefferson and Abraham Lincoln. Sad,"Milwaukee, WI",neg
170,"You mean ""white supremacist"". https://t.co/zJLEbOqFBz",The Internet,neg
171,"When you see someone who needs help, you don't just watch, you help them. Especially during Christmas @realDonaldTrump","Pheonix, Az",neg
172,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","Santa Cruz, CA",pos
173,"RT @TimeforTruth16: Pres Elect @realDonaldTrump  starts Leading our Country! While Obama sits lame, continues to do nothing blaming Fox… ",United States,neg
174,BREAKING NEWS: @realDonaldTrump just discovered that SNL isn't funny anymore. Where's he been the past 20 years? https://t.co/DOgz2MDNiG,Right Behind You... BOO! ,neg
175,"RT @nfbrennan: @realDonaldTrump you truly can't see the irony of them making fun of you for...tweeting, and then...tweeting about it..",headass avenue,pos
176,@realDonaldTrump Thanks for reminding me to watch it. Jackass.,"Santa Clarita, CA",pos
177,@DuckedUpQuacker @SamHarrisOrg @realDonaldTrump he drone bombs children and lied about almost everything,In the flesh. #STL,neg
178,"@realDonaldTrump 
 The tv remote was next thing invented. I don't have to get up to change this beaten to death show.","Philadelphia, pa",neg
179,"@LouDobbs @DTParody11 @realDonaldTrump @HouseForeign @RepEdRoyce 

#MAGA-Morons Against Greater America

You being lead moron with DON, Lou","Ak Bulak, Krgyszstan",neg
180,It's @realDonaldTrump's contribution to providing employment in the US! @BettyFckinWhite https://t.co/OAvrL5gCmo,"Abuja, Nigeria",neu
181,@realDonaldTrump Hey Donald Trump I want you to block me... or can you not read this?,"San Diego, CA",neg
182,He' got irritated!! Too bad! if @realDonaldTrump just knew about @LesGuignols they having a hilarious fan time!!! https://t.co/AlUn2wiosO,Partout,neu
183,RT @raymondbraun: @realDonaldTrump I'm confused. Weren't you boasting about hosting SNL around this time last year? https://t.co/G2DO7tLpfZ,U.S.,neg
184,RT @Janetlarose1: @realDonaldTrump I WOULD SAY SHE (Hillary) SUFFERING FROM A SEVERE CASE OF KARMA  ... DM https://t.co/s0STMz4qrw,Nationwide,neg
185,@realDonaldTrump It happens Donald. Rise above it and be a great President or take everything you see on T.V. personally. Up to you.,"Wisconsin, USA",pos
186,@jonrosenberg @realDonaldTrump I bet your therapist loves Trump like cops like riots (overtime). New Benz for the Doc next year!,Texas,pos
187,"RT @realDonaldTrump: ""@UncleBibby: @BestBergerEver @realDonaldTrump here's a screenshot of my iphone. please be prez, don trump!!! http://t…",Lima - Miami,pos
188,"@realDonaldTrump of course it's biased, it's part of the liberal media who keeps trying to take you down! Let them have their fun, big guy.","Southgate, KY",pos
189,@realDonaldTrump NICE,"Boisar, India",pos
190,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",Earth...,pos
191,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94","Hoboken, NJ",pos
192,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha","San Diego, CA",pos
193,"RT @tyleroakley: @realDonaldTrump honestly, seek therapy. this will be a long four years if you can't cope with us reacting to you. YOU SIG…",Los Angeles ,pos
194,@realDonaldTrump NO SAD PEASE..,Facebook :Polchai Akrawanichku,neg
195,"@JamboSchlarmbo @realDonaldTrump You are evidently.  He's not my President, I live in Canada.  Wish he was though.","Conservative, Ontario",pos
196,RT @raymondbraun: @realDonaldTrump I'm confused. Weren't you boasting about hosting SNL around this time last year? https://t.co/G2DO7tLpfZ,Bangkok,neg
197,@xAbigailElliott #Trumpified LET's get it trending! @ScottIsbell_ @RealDonaldTrump,"Los Angeles, CA",neg
198,@realDonaldTrump you r a joke/ nightmare for the world,"St Petersburg, FL",neu
199,@realDonaldTrump oh yah our drama just keeps getting worse and worse,where i see you but you cannot,neg
200,RT @KayEllen48: @MagicRoyalty @realDonaldTrump I'm boycotting any media that reports on a Trump presidency as if it's normal. It's not.,USA,neg
201,@realDonaldTrump what pizzes me off.if lack respect!i don't care for @POTUS but never!disrespected tweeted etc. yet ppl have him &amp; DT.,United States,neg
202,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",still with her,pos
203,@TomBiersdorfer @realDonaldTrump Be nice or the petulant child will block you ;),New York ... or wherever,pos
204,"@realDonaldTrump You sure liked it when you hosted, fat boy.

My God, the President-elect tweeting about SNL. Pathetic.","Brooklyn, NY",pos
205,@Polys67 @GCroker9 @givEmkeL @nfbrennan @realDonaldTrump  actually he backed out of that promise,"Ontario, Canada",pos
206,RT @thieveshours: All of us are laughing at you. @realDonaldTrump,Little Rock,neg
207,@Browness @realDonaldTrump he's not wrong,philadelphia ,pos
208,RT @GCroker9: @Polys67 @givEmkeL @nfbrennan @realDonaldTrump you mean lose 1300 jobs while giving a $7million tax break to the company??,"Hamilton, Ontario, Canada",neg
209,RT @bchance33: ENOUGH #TRUMPLEAKS #GrabYourWallet CORRUPT @realDonaldTrump https://t.co/89I7KmsbMn,"Arlington, Texas",neg
210,"RT @rejialex7: I am sick people at @CNN @MSNBC @ABC @CBS bashing @realDonaldTrump Day&amp;Night so i made this for Trump supporters,le… ",Colombia,neu
211,"RT @DineshDSouza: Today on @ffweekend, I debated a Democratic operative on whether @realDonaldTrump won by appealing to white suprema… ","California, USA",pos
212,"@realDonaldTrump buddy the impression is fine, that is actually what a terrible fucking excuse for a human you are",perth,pos
213,"It's astonishing to think of it, but there are some who are willing to try. Though none are very convincing. https://t.co/fgCCFRecih",London,neg
214,"@LouDobbs @MyPresidentme @realDonaldTrump @RepEdRoyce You are right Lou, We didn;t vote for this. Support Trump or lose in 2018!","Illinois, USA",neg
215,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha",Scranton '20,pos
216,@realDonaldTrump Baldwin is spot on. Makes you look like the assclown you really are 😂 #Baited #Triggered #presidentchump,"Essex, UK",pos
