,0
54,"RT @TheDarklady: .@realDonaldTrump No, what's sad is how spot on #SNL has been. Stop watching TV and start attending your damn security bri…"
55,@realDonaldTrump Yo pops - go to bed.  You and Jared got lots of companies and countries to shake down tomorrow!  #MakeAmericaGreatAgain
56,"RT @lynnlary: Natl unemployment rate dropped to 4.6 percent, the lowest level since President George W. Bush. Obama=16,000,000 jobs. @realD…"
57,This exchange is ev-ah-ree-thing! https://t.co/LnIDV3TsqA
58,"@realDonaldTrump Your imitation of yourself is less authentic than Baldwin's impersonation of you. You don't seem that human, really."
59,And again Trump Empire wins the scam game. https://t.co/i55E33joIw
60,@realDonaldTrump whatcha gonna do when other countries or your own citizens criticize you?  Grow thicker skin man
61,Gas lighting https://t.co/3i1oS3gdBZ
62,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94"
63,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94"
64,@realDonaldTrump they were joking on u mane lol
65,"@N_4_B @realDonaldTrump EXACTLY! Go READ the Constitution, try to figure it out! Geez..."
66,RT @usfortrump: Praying for victims of #oaklandfire @realDonaldTrump
67,Well @realDonaldTrump critiques @nbcsnl to deflect attention away from his diplomatic disasters this week. Focus #msm!
68,"@LueYee @TOOEdit @DanaRohrabacher @realDonaldTrump What's the point of having him as deputy? Bolton shouldn't be anywhere, no point!"
69,RT @davelozo: .@realDonaldTrump also you are mad I voted seven times for Hillary Clinton
70,"RT @gqforbes4: ""You are a great friend of Israel!"" @IsraeliPM Benjamin Netanyahu congratulates his friend, @realDonaldTrump https://t.co/9L…"
71,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94"
72,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
73,RT @GroovyFeline: But - but - but - but emails! ?@HillaryClinton @realDonaldTrump #TaiwanCall #TrumpSwamp #TheResistance https://t.co/56A30…
74,"RT @Nanbp: .@realDonaldTrump is a spoiled, sad toddler with anger and emotional issues. https://t.co/Cul7i2DzkQ"
75,"@realDonaldTrump: It's just ""comedy room talk"""
76,@realDonaldTrump - I'm not sure if Donald Trump knows SNL is a comedy show. I'm not sure if he knows what comedy is....
77,Fox News' Bolling Shows Democrats What They Have Lost  - EVERYTHING! 12/03/16 @FoxNews @realDonaldTrump @seanhannity https://t.co/uYgucm5IAx
78,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
79,"@realDonaldTrump Your poison injected into your supporters. Since you lead them, this alone is good enough to arrest https://t.co/2PoopJZ1ne"
80,RT @CathieMarie2014: @realDonaldTrump Most AMERICANS DONT Watch That trash. WE are aware. It's all good. Let's just #MAGA ????????
81,RT @BobHagh: @realDonaldTrump Your impersonation of a President is unwatchable. Sad!
82,RT @pastormarkburns: I'm so happy that #JesusChrist &amp; #SantaClaus will be welcomed back to the White House inder @realDonaldTrump Administr…
83,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
84,"RT @DanScavino: '@DrJillStein'S Michigan Recount Could Cost Taxpayers $12 Million'

#PEOTUS @realDonaldTrump gains in Wisconsin.
https://t.…"
85,The badge of honor;) https://t.co/TVZsqDdFVS
86,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
87,"RT @DanScavino: '@DrJillStein'S Michigan Recount Could Cost Taxpayers $12 Million'

#PEOTUS @realDonaldTrump gains in Wisconsin.
https://t.…"
88,.@ABFalecbaldwin is KILLING IT with his @realDonaldTrump impersonations ?? https://t.co/RrYD5Tl1ok
89,RT @raymondbraun: @realDonaldTrump I'm confused. Weren't you boasting about hosting SNL around this time last year? https://t.co/G2DO7tLpfZ
90,RT @Politicalpulse1: @realDonaldTrump you're the sad one. Can't tell where #snl ends and the real #trump begins . @AlecBaldwin is spot on.
91,"Hahahah @realDonaldTrump you're so thin-skinned! You dish it out mate, TAKE THE HEAT! https://t.co/NchyIdQuae"
92,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94"
93,@MSAdvocate2001 @realDonaldTrump Am working on my next pic...
94,"@realDonaldTrump Please focus on... god help us... being the most powerful man in the world and ignore comedy shows for your term, please."
95,@realDonaldTrump get to work.
96,What's @realDonaldTrump doing now? You crazy fuck.
97,".@realDonaldTrump Not watched em in 2 mos! I'm ur age, alwys watched a little, but SO BAD in past 2-5 yrs, theyr Done! We'd rather watch U!"
98,@realDonaldTrump are you going to do this every fucking week you manchild?
99,@realDonaldTrump keep on watching... the more TV u watch the less time u devote to turning our country into one of YOUR crappy reality shows
100,RT @_CillaW: If only @realDonaldTrump used half of the time he spent complaining about @SNLUpdate to address racist/sexist acts… 
101,"@realDonaldTrump Alex Baldwin Gotta admit, Tries anyway!You should invite him to the Inauguration and sit Next to Mitt Romney,Or Rudy!"
102,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
103,RT @ANOMALY1: @GovMattBevin @realDonaldTrump WOW ! LOVE IT ! https://t.co/3ThKUi6i0Q
104,"RT @GovMattBevin: The more I get to know @realDonaldTrump, the more I respect him. KY's strong support for Trump will pay dividends https:/…"
105,President Trump knows where the Magic Wand is  and is #MAGAx3 https://t.co/hI6sLPUyub
106,Or you could just stop https://t.co/aAsEG0PJIp
107,@realDonaldTrump Remember this racist thing https://t.co/HFw0YkS98S - AWKWARD - you could denounce White Power hardcore &amp; lead #bigotry
108,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
109,"RT @gqforbes4: Only 3 days after the election, @realDonaldTrump already saves US $100B &amp; 448,000 jobs—by KILLING TPP (see par 5) https://t.…"
110,"@realDonaldTrump totally agree big Don, can’t watch that garbage anymore they should cancel it right now."
111,What about Duck Dynasty though https://t.co/5RIGfgvx1i
112,@realDonaldTrump how does it feel to be the worst president ever before actually taking office? You're pathetic
113,I'll only RT if you never stop wearing guyliner @kumailn @neilclevine @realDonaldTrump
114,RT @Blob_Fish: Is this funny don? @realDonaldTrump https://t.co/6aY9qxBKtq
115,RT @Braveheart_USA: The Cold Hard Fact is Democrats don't believe America is exceptional. Conservatives Know America is Exceptional!… 
116,@realDonaldTrump @TriesteKDunn why inthe Sam Hell are you still tweeting?! Get off twitter!
117,"RT @TheYoungTurks: With the spike in hate crimes following the election of @realDonaldTrump, minorities may be purchasing more guns. https:…"
118,"@realDonaldTrump A new SNL tonight that captured EXACTLY what America thinks of you, Trump!  IT WAS PERFECT...and f… https://t.co/paOMpcaHum"
119,@kylegriffin1 @realDonaldTrump So disturbing. Fat #Trump needs to be rejected by electors.
120,@realDonaldTrump poor Trumpy. A comedy sketch show is so mean. Let's hope China isn't too difficult after that conv… https://t.co/Y7HgnO7lJV
121,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
122,RT @KeithOlbermann: The Taiwan call was no more a diversion than were the crazy tweets. It's evidence @realDonaldTrump is insane. ICYMI: ht…
123,"Wish @realdonaldtrump reads this piece and works with the Muslim community in the US &amp; we can all #MAGA
https://t.co/adGBnK0yiz"
124,"@realDonaldTrump When Saturday Knight Live Was Great
JOHN BELUSHI The Best Of Samurai Futaba Part 2 https://t.co/jJW0aa07H8 via @YouTube"
125,"@realDonaldTrump More Than Half The Nation See's You For What You Are,  Ego Maniac."
126,Don't want to move on ~ I love watching .@nbcsnl mock .@realDonaldTrump &amp; I LOVE #Trump making an ass of himself ov… https://t.co/Os1U18eHng
127,RT @MichaelCohen212: I stand with #PEOTUS @realDonaldTrump and his commitment to #MakeAmericaGreatAgain. RT if you stand with him as wel… 
128,RT @KKoz03: SNL Makes Fun Of Trump’s Tweeting – So He Tweets Angry Message During Show! (VIDEO) https://t.co/zSlY2Mtsf6 @realDonaldTrump Ac…
129,"@realDonaldTrump Hey STUPID, if you don't like how SNL portrays you, DON'T WATCH IT. Then we won't put up with your whiny bullshit.#GrowUp"
130,"RT @BaileyPittipat: @realdonaldtrump 
Baldwins spot on. You have no sense of humor. You act like a little child with your whining. Grow a p…"
131,@realDonaldTrump it's hilarious to know that we were sitting on the couch imagining you freaking the fuck out...waiting for the tweet ???
132,RT @riotwomennn: Donald &amp; intelligence briefings  ... these things are not compatible  @realDonaldTrump #snl https://t.co/zclmZQDJux
133,"RT @Only4RM: Still no time for those intel briefings though, right? @realdonaldtrump"
134,@realDonaldTrump THEN STOP WATCHING IT!!! Damn your dumb
135,@realDonaldTrump you are a fucking legend
136,"@realDonaldTrump Shouldn't you be worried about presidentil things and not a TV show? Are you 5, you narcissistic ass?! Grow up!!!"
137,"@realDonaldTrump You missed Jennifer Aniston, Asshole. She won't give you the time of day."
138,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
139,RT @_The_Super: @POTUS Isn't this kinda like telling MSM that Trump couldn't save jobs. Wrong again Mr President. https://t.co/A0KQebhcdV
140,@realDonaldTrump show is pretty terrible and leftist. Also Mary/Joseph skit offensive to #Catholics
141,"@GLMoran3 @Hayes_1971 .@realDonaldTrump Say Again, Comrade Moran ? #NotMyPresident https://t.co/RYpGT125Jg"
142,@realDonaldTrump join team squart
143,@Green_Footballs @realDonaldTrump Alec Baldwin should get an award for his excellent impersonation of tRump.
144,"@suellen6786 Hello.Some are saying they were sorry they voted for @realDonaldTrump too late!
#OHIO I changed user name from 
@Progress4OHIO"
145,RT @CathieMarie2014: @realDonaldTrump Most AMERICANS DONT Watch That trash. WE are aware. It's all good. Let's just #MAGA ????????
146,?? THIS---&gt; https://t.co/vjFLnNtlk4
147,"RT @SamHarrisOrg: Ok. Is there a person on earth who can argue that @realDonaldTrump is ethical, honest, and well-informed? https://t.co/da…"
148,@RexHuppke @realDonaldTrump where can a certain someone buy some skin thickener? ?@MattSpiegel670
149,"@realDonaldTrump eh hem, you mean Foster Campbell."
150,@realDonaldTrump did you see the @HillaryClinton sketch? That was funny!
151,"RT @Cantorina: Ummm, @realDonaldTrump does. Maybe @KellyannePolls could slip intel briefings into the SNL time slot for him https://t.co/vv…"
152,RT @DineshDSouza: I'm glad @realDonaldTrump is appointing rich guys who don't need to make money off their govt posts--like some othe… 
153,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
154,@jbarro @realDonaldTrump How the hell does the President have time to watch SNL?
155,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
156,BUT IN A COMA https://t.co/tq2PnMBfp8
157,"RT @DineshDSouza: Today on @ffweekend, I debated a Democratic operative on whether @realDonaldTrump won by appealing to white suprema… "
158,"Well, they keep changing the numbers on the menu and now that breakfast is all day... https://t.co/4LlcL5Hl6K"
159,@realDonaldTrump  maybe if you didn't give them so much material. Just saying!
160,@JuddLegum @DebraMessing @realDonaldTrump should watch @ConanOBrien and the telecon btwn him and @POTUS
161,"@realDonaldTrump Apparently, you have little self-awareness because Balwin nails it, week after week! I tune in just to watch him!"
162,@realDonaldTrump You are going to be (a god-awful) President. Please grow the fuck up and act like one.
163,RT @ArianeBellamar: Oh. Boy.  LOVE IT! @realDonaldTrump #IdiotInChief #SNL @SNLUpdate @nbc ??#Saturdaynightlive #Trumpuppet https://t.co/M3…
164,@JasumatiPatel @realDonaldTrump it's well calculated strategy of USA before investing in China. It's checkmate for China.
165,@Queeenofbacon @keyr0h @realDonaldTrump SPLC is disgusting propaganda. Worse than fake news.
166,@TOOEdit @realDonaldTrump Bolton hates the UN and is not a pacifist like most of the Alt-right.
167,@chelseahandler @Nigel_Farage @realDonaldTrump Cross the pond...let Donald go live with him
168,RT @ProgressOutlook: @realDonaldTrump I put more effort into ordering from McDonald's than you put into learning how to be the leader of th…
169,@realDonaldTrump I cant believe this man will hold the same title as Thomas Jefferson and Abraham Lincoln. Sad
170,"You mean ""white supremacist"". https://t.co/zJLEbOqFBz"
171,"When you see someone who needs help, you don't just watch, you help them. Especially during Christmas @realDonaldTrump"
172,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
173,"RT @TimeforTruth16: Pres Elect @realDonaldTrump  starts Leading our Country! While Obama sits lame, continues to do nothing blaming Fox… "
174,BREAKING NEWS: @realDonaldTrump just discovered that SNL isn't funny anymore. Where's he been the past 20 years? https://t.co/DOgz2MDNiG
175,"RT @nfbrennan: @realDonaldTrump you truly can't see the irony of them making fun of you for...tweeting, and then...tweeting about it.."
176,@realDonaldTrump Thanks for reminding me to watch it. Jackass.
177,@DuckedUpQuacker @SamHarrisOrg @realDonaldTrump he drone bombs children and lied about almost everything
178,"@realDonaldTrump 
 The tv remote was next thing invented. I don't have to get up to change this beaten to death show."
179,"@LouDobbs @DTParody11 @realDonaldTrump @HouseForeign @RepEdRoyce 

#MAGA-Morons Against Greater America

You being lead moron with DON, Lou"
180,It's @realDonaldTrump's contribution to providing employment in the US! @BettyFckinWhite https://t.co/OAvrL5gCmo
181,@realDonaldTrump Hey Donald Trump I want you to block me... or can you not read this?
182,He' got irritated!! Too bad! if @realDonaldTrump just knew about @LesGuignols they having a hilarious fan time!!! https://t.co/AlUn2wiosO
183,RT @raymondbraun: @realDonaldTrump I'm confused. Weren't you boasting about hosting SNL around this time last year? https://t.co/G2DO7tLpfZ
184,RT @Janetlarose1: @realDonaldTrump I WOULD SAY SHE (Hillary) SUFFERING FROM A SEVERE CASE OF KARMA  ... DM https://t.co/s0STMz4qrw
185,@realDonaldTrump It happens Donald. Rise above it and be a great President or take everything you see on T.V. personally. Up to you.
186,@jonrosenberg @realDonaldTrump I bet your therapist loves Trump like cops like riots (overtime). New Benz for the Doc next year!
187,"RT @realDonaldTrump: ""@UncleBibby: @BestBergerEver @realDonaldTrump here's a screenshot of my iphone. please be prez, don trump!!! http://t…"
188,"@realDonaldTrump of course it's biased, it's part of the liberal media who keeps trying to take you down! Let them have their fun, big guy."
189,@realDonaldTrump NICE
190,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
191,"RT @cafedotcom: .@realDonaldTrump Mr. Trump is an amazing orator, will have historic quotes as POTUS! https://t.co/0PAdJwcC94"
192,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
193,"RT @tyleroakley: @realDonaldTrump honestly, seek therapy. this will be a long four years if you can't cope with us reacting to you. YOU SIG…"
194,@realDonaldTrump NO SAD PEASE..
195,"@JamboSchlarmbo @realDonaldTrump You are evidently.  He's not my President, I live in Canada.  Wish he was though."
196,RT @raymondbraun: @realDonaldTrump I'm confused. Weren't you boasting about hosting SNL around this time last year? https://t.co/G2DO7tLpfZ
197,@xAbigailElliott #Trumpified LET's get it trending! @ScottIsbell_ @RealDonaldTrump
198,@realDonaldTrump you r a joke/ nightmare for the world
199,@realDonaldTrump oh yah our drama just keeps getting worse and worse
200,RT @KayEllen48: @MagicRoyalty @realDonaldTrump I'm boycotting any media that reports on a Trump presidency as if it's normal. It's not.
201,@realDonaldTrump what pizzes me off.if lack respect!i don't care for @POTUS but never!disrespected tweeted etc. yet ppl have him &amp; DT.
202,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
203,@TomBiersdorfer @realDonaldTrump Be nice or the petulant child will block you ;)
204,"@realDonaldTrump You sure liked it when you hosted, fat boy.

My God, the President-elect tweeting about SNL. Pathetic."
205,@Polys67 @GCroker9 @givEmkeL @nfbrennan @realDonaldTrump  actually he backed out of that promise
206,RT @thieveshours: All of us are laughing at you. @realDonaldTrump
207,@Browness @realDonaldTrump he's not wrong
208,RT @GCroker9: @Polys67 @givEmkeL @nfbrennan @realDonaldTrump you mean lose 1300 jobs while giving a $7million tax break to the company??
209,RT @bchance33: ENOUGH #TRUMPLEAKS #GrabYourWallet CORRUPT @realDonaldTrump https://t.co/89I7KmsbMn
210,"RT @rejialex7: I am sick people at @CNN @MSNBC @ABC @CBS bashing @realDonaldTrump Day&amp;Night so i made this for Trump supporters,le… "
211,"RT @DineshDSouza: Today on @ffweekend, I debated a Democratic operative on whether @realDonaldTrump won by appealing to white suprema… "
212,"@realDonaldTrump buddy the impression is fine, that is actually what a terrible fucking excuse for a human you are"
213,"It's astonishing to think of it, but there are some who are willing to try. Though none are very convincing. https://t.co/fgCCFRecih"
214,"@LouDobbs @MyPresidentme @realDonaldTrump @RepEdRoyce You are right Lou, We didn;t vote for this. Support Trump or lose in 2018!"
215,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
216,@realDonaldTrump Baldwin is spot on. Makes you look like the assclown you really are ? #Baited #Triggered #presidentchump
217,"@realDonaldTrump You do realize they have done this for like every president, right?  If you can't stand the heat, get out of the kitchen"
218,@runswithwaves @BrettaApplebaum @realDonaldTrump. He didn't have any foreign dignitaries to screw up foreign policy with. Slow night.
219,"So sad. @realDonaldTrump is a con artist. He's the best con artist, a yuuuuuuge and tremendous con artist. Bend ove… https://t.co/xivt7B47vF"
220,RT @jeng77: @realDonaldTrump instead of going on a victory tour maybe you should put some work into figuring out how to be president
221,"RT @GovMattBevin: The more I get to know @realDonaldTrump, the more I respect him. KY's strong support for Trump will pay dividends https:/…"
222,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
223,RT @MyCountryDreams: @realDonaldTrump sorry SNL was mean respond with #upyourbutt
224,@realDonaldTrump watches #SNL every week &amp; complains every week...think he really just wants to b on show again? https://t.co/byFdMRDzQJ
225,"@MarkDice @realDonaldTrump 
Let him watch what he feels like Mark - Donald's been debating liberals for past 18 months. Man needs a break!"
226,RT @elaineylacy: @realDonaldTrump Alex needs to win an oscar! He so rocks &amp; nails DT. Love it! @ines411 @abel_whyte https://t.co/qzdOA7tEns
227,"@realDonaldTrump just tried believing you could handle being president- totally unwatchable. SAD 

#SNL"
228,@realDonaldTrump Man that baldin guy what a BABAY!!!!!!. Totaly unbiased and unfair. Totaly not professional
229,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
230,"RT @JustMeinMI: @realDonaldTrump has two years of undergrad, no degree. Does this make him the least educated president in history? ? 
#Los…"
231,RT @DineshDSouza: I'm glad @realDonaldTrump is appointing rich guys who don't need to make money off their govt posts--like some othe… 
232,"RT @OaktownBearFan: @realDonaldTrump For God's sake, get over yourself. @AlecBaldwin impression is dead on...and he'd make a better preside…"
233,".. The Truth Hurts, huh ?!?!@realDonaldTrump !!! lmao #SNL Forever!!!! ??????"
234,@realDonaldTrump SNL is awesomesauce
235,RT @billyeichner: .@realDonaldTrump do u watch my shows
236,@kbeninato @realDonaldTrump he's right - him tweeting during intelligence briefings is unrealistic - everyone knows he doesn't have them!
237,@jonrosenberg @realDonaldTrump  have a cousin who works on transition and Scott Baio for Labor Secretary
238,@davelozo @realDonaldTrump Lozo just trawling for trolls like.. https://t.co/7afS737GNW
239,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
240,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
241,"@ParkerMolloy @realDonaldTrump ??
8 years , we hope !"
242,"@realDonaldTrump got 1 word right, sad. He's a really effin sad man! Wisdom is light w/this one. Go to bed!… https://t.co/wesAxT49io"
243,@davidsirota @realDonaldTrump  Here's a pic of David's backyard https://t.co/JkAGiQxALU
244,RT @MichaelCohen212: I stand with #PEOTUS @realDonaldTrump and his commitment to #MakeAmericaGreatAgain. RT if you stand with him as wel… 
245,"@realDonaldTrump says the same thing about SNL every week, it's unfunny and biased, yet he keeps watching #SNL"
246,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
247,@KaivanShroff B/c @realDonaldTrump is a loser with a fragile ego and needs validation &amp; adulation of public. He lost pop. vote by over 2.5M
248,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
249,@realDonaldTrump @StephenBannon Word of advice guys. Keep DNI in the family. Jesuits/Vatican/Devil will b after it at all costs.
250,"RT @MarkWaid: .@realDonaldTrump First, you're the expert on viciously firing. Second, I presume you don't have any stock in Rexnord like yo…"
251,"RT @Only4RM: Still no time for those intel briefings though, right? @realdonaldtrump"
252,"ICYMI: ? @realDonaldTrump Hates Double Chin Pics, Internet Decides To Help (Photos) https://t.co/IIxnylTq3w https://t.co/NR0SJxKdkN"
253,Rt if u love to pick fights on famous peoples accounts @realDonaldTrump lol
254,@TherealMathew @jonrosenberg @realDonaldTrump Sesame Street isn't a cartoon lmao
255,"RT @ibejac: @EricKleefeld @TheCWSupergirl @KellyannePolls @realDonaldTrump Hey, at least trump recognizes he's a world class villain and dr…"
256,"RT @ABFalecbaldwin: ...@realDonaldTrump 

Release your tax returns and I'll stop.
Ha"
257,RT @CathieMarie2014: @realDonaldTrump Most AMERICANS DONT Watch That trash. WE are aware. It's all good. Let's just #MAGA ????????
258,"@realDonaldTrump if u hate him
WHY R U on here? U do NO good.U feed the fire 2 ignorance&amp;hate! U say he is a hater? Look@urselves!HaveFaith!"
259,RT @John72115John: @mrp @dnmbella @realDonaldTrump Shows how weak minded he is! Letting a comedy show rattle that pea brain of his ?????! G…
260,"RT @NickTerminator: @realDonaldTrump SNL has been making fun of politicians for over 25 years. You aren't a politician or president, but ge…"
261,"RT @nfbrennan: @realDonaldTrump you truly can't see the irony of them making fun of you for...tweeting, and then...tweeting about it.."
262,@realDonaldTrump Maybe you can go watch Alex Jones rant about the fish people. I know that cracks me up
263,@realDonaldTrump The script was so biased that it wasn't funny. But I stopped watching them YEARS ago.
