,0,1,2
41,@SeamasBelfast @HillaryClinton nah. Eisenhower is bae. P.S. @billclinton gutted Glass Stegal because Alan Greenspan told him to.,Dublin,neg
42,"RT @USAneedsTRUMP: @HillaryClinton you care about Louisiana flood victims as much as you did Haiti, not at all! ","Albany, LA",pos
43,"@HillaryClinton #disingenuous

Clintons charity is to themselves -  - @washtimes",Southern California,pos
44,"Retweeted Hillary Clinton (@HillaryClinton):

We know that giving millionaires huge tax breaks doesn't help our... ","San Antonio, Texas",pos
45,"@DebraMessing Hi Debra, Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song ",USA,neu
46,@TheGOPReport @Fyr_patriot @HillaryClinton Will HilLIARy be taking a nap when you need her? Trump will be there.,Chicago. IL,neu
47,"@tennyman2 @FoxNews @realDonaldTrump @HillaryClinton @POTUS Apparently you missed the $trillion Obama bill on ""not so shovel ready jobs""",Georgia ,neg
48,.@FoxNews Hooray! Finally a candidate who speaks truth to African-Americans! Not like pandering @HillaryClinton #CNN p,"Texas, USA",neg
49,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",30215,neu
50,"Banned from owning guns?
@HillaryClinton should be banned from being protected by them!
#gunsense
",Hovering over your safe zone. ,neg
51,@HillaryClinton at least what he says isn't another LIE. You should just keep your mouth closed because everything out of you mouth is a LIE,"Agoura Hills, Ca",neu
52,@HillaryforOH @HillaryClinton ask her about TPP the gold standar....= job loss open your eyes!,"New Jersey, USA",neg
53,"RT @PlaysTrumpCard: 1. lol
2. #WheresHillary
3. hey @cher its not Dr. Drews fault that @HillaryClinton is literally unfit for @POTUS https:",on your timeline,pos
54,"@HillaryClinton @billclinton gift him a one way ticket out of this country &amp; go w him.  Bye Bye! 
#careercriminal #Benghazi #NeverHer #MAGA",New Jersey Proud,neg
55,@Deadhead1965 @STKnutsen @HillaryClinton @realDonaldTrump that is an excellent point!,"Knoxville, TN",neg
56,"RT @TwinmomSue: When @HillaryClinton supporters start committing hate crimes in record numbers I will be convinced that she is a bigot.
@re",in every cishet's nightmare,pos
57,@HillaryClinton Shame Hillary when your lies aren't working throw Colin Powell under the bus your lack of leadership skills begin to surface,"Lake Wales, FL",neg
58,RT @303john: @HillaryClinton cant be bothered. She is taking her blood thinners. #WheresHillary p,Basement of The Kremlin ,pos
59,@HillaryClinton #TrumpPence2016 #SickAnd Sicker,"North Pole, AK",neu
60,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Ohio,neu
61,RT @machadooficial: I am proud and inspired to be american citizen.Honored and proud to be campaigning for @HillaryClinton @Hillary_esp htt,Miami-Florida,neu
62,RT @sumatrat: What do we have to lose - FREEDOM. Our actual freedom.  se78t4qON,Ferguson at Heart     ,neg
63,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" .","Beverly Hills, CA",neu
64,@FoxNews @HillaryClinton  Trump 2.0..pandering to African Americans and Latinos....pants on fire,"Florida, USA",neg
65,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" h",Oklahoma,neu
66,Bigot Hillary Clinton finds a new way to use Black Folk. #TheColinMadeMeDoIt ,Elysium,neu
67,@HillaryClinton says visiting flood victims would be a distraction.  Translation: I'm not wasting my time and getting my pantsuit dirty,127.0.0.1,neg
68,RT @theboom1: @SupaReaper @KerinLeone @HillaryClinton @realDonaldTrump @DrJillStein i will go into the night knowing i did - ,Bonneville Dry Lake Bed,neg
69,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Las Vegas,neu
70,RT @beachluv_r: @Dragonsnestling @abettertattoo @GinoTheBeagle @seanhannity @HillaryClinton i will make sure i have a good wine to watch tr,America..USA,pos
71,Today is @BillClinton's birthday! It's not too late to sign his card here:  by @HillaryClinton via @c0nvey,"Punta Cana, Dominican Republic",neu
72,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:",Apache Land. USA,pos
73,@Twade85 @realDonaldTrump someone please tell @HillaryClinton her voters are taking buses. And here's why ,my home ,neu
74,RT @Stealthy_Marine: I couldn't help myself!  Is @HillaryClinton coughing or impersonating Lewinsky  ,"Lexington, Ky",neu
75,"Retweeted Hillary Clinton (@HillaryClinton):

Donald Trump wants to eliminate the estate tax. Doing so could save... hReHM1in","San Antonio, Texas",neu
76,@HillaryClinton because they don't want terrorist in their country.... ,"Florida, USA",pos
77,"Go to a @HillaryClinton event and bring plenty of FLASH CUBES OR A STROBE LIGHT AND CATCH HER REACTION ON VIDEO!!!!
She is unfit physically!","Pennsylvania, USA",neu
78,"RT @morabitolee6: #BlameColinPowell @HillaryClinton well this certainly backfired on you HRC!!!!
thank you for more votes for TRUMP.. https",#AllCatPack,pos
79,@HillaryClinton Enough with your lies America deserve better than you @HFA @oprah #HillaryLies #HillaryHealth tdatm6I6N,"Fort Myers, FL",pos
80,Welcome to USAs campaign of people FED UP w/Obama/@HillaryClinton Come JOIN us &amp; vote for @realDonaldTrump for TRUTH ,Massachusetts,pos
81,"@shondarhimes Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song ",USA,neu
82,"#syrianboy was tied with big corp's that paid of @HillaryClinton to help ravaged Syria, and start ISIS through libya this is an outrage!",USA,neg
83,@URAFRAUD1 @mcuban @HillaryClinton Did you have a loving relationship with your mother? Did she tell you she loves you a lot? You are safe.,"McLean, VA",pos
84,TANTALIZED TEETS TREMBLE AS WE ALL CONSPIRY ON THE WHEREABOUTS OF @HillaryClinton #whereshillary,coming 2 a location near YOU,neg
85,RT @PoliticalShort: Hey @HillaryClinton where'd that $6B go while you were SecofState? We're about to find out. hpaOjC9r htt,"Texas, USA",neu
86,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Tallahassee, FL",neu
87,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:","South Carolina, USA",pos
88,@7658 @HillaryClinton Why? Hillary brags about getting a pedo rapist off the hook but Trump said a mean thing. Your priorities are fucked.,In a computer near you....,neg
89,"@rosenbergerlm @HillaryClinton @samdagher Crooked Hillary is Candidate of War Machine: Huffington Post
","Washington, DC",neg
90,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:",AZ,pos
91,"RT @Harlan: In @HillaryClinton's America, the system stays rigged.

Great new @realDonaldTrump ad: ",Hawkeye state!,pos
92,"RT @Bikers4Trump: Is @HillaryClinton in Rehab for another Fall while Obama plays golf &amp; @realDonaldTrump Visits Flood Victims?
Join https:/",Atlanta,pos
93,@smerconish @NewDay @AlisynCamerota @PoppyHarlowCNN @realDonaldTrump @HillaryClinton Shameful that MSM is giving Trump such leeway.,Cahhhleeefoohhhnyyyyaaa,neg
94,"RT @scrowder: We get it, @HillaryClinton. Colin Powell is just the latest in the blame game. t",Villanova,neg
95,RT @CorrectRecord: .@PolitiFact rated the claim that @HillaryClinton is for open borders as False.  #TrumpLies,"San Diego, CA",neu
96,@HillaryClinton Who exactly is advising you? Common . . .,"Your Street, USA",neu
97,@HillaryClinton Still the lamest conspiracy story ever and still reckless foreign policy to vilify another UN security council member nation,"Atlanta, GA",neg
98,RT @DrJillStein: I asked CNN how @HillaryClinton explains #ClintonFoundation #PayToPlay emails. Clinton campaign response: no comment https,Idaho,neg
99,@HillaryClinton  Well? sTWiN0N6t,Thomasville NC,pos
100,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" h",London,neu
101,@jaymeswinn @ReutersPolitics @HillaryClinton Do you know how many ppl were afforded that same treatment?,USA,neu
102,I'm VOTING for @HillaryClinton!,"Tampa, Florida",neg
103,"@AmericaFerrera Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song ",USA,neu
104,"RT @USAneedsTRUMP: @HillaryClinton you care about Louisiana flood victims as much as you did Haiti, not at all! ",Cul de Sac off Copperhead Rd,pos
105,RT @creynoldsnc: They got a lot wrong. tnPEAt2l72,"Las Vegas, NV ",neg
106,"RT @zachhaller: The Atlantic w the truth-telling 
@HillaryClinton &amp; @theDemocrats are the new Republicans
  https:/","Washington, DC",neu
107,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Cleveland Park, DC",neu
108,RT @KellyRiddell: This is a truth bomb. Keep em coming txAg,WORLD ,neg
109,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","columbia, md",neu
110,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","New York, NY",neu
111,RT @maryam82584: @ElizbethLManess @HillaryClinton @gentlemanirish @KnucklDraginSam @jokesonus4sure lol so true so true lol ,Somewhere in the Hills of TN,neg
112,RT @libertad805: Ha about time #HillaryClinton  ,"San Anselmo, California",pos
113,@onlinesarcasm @HillaryClinton @billclinton was not meant as sarcasm... but a rrue admiration for a couple who are together in thick n thin.,"Earth, no idea where precisely",neg
114,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:","South Carolina, USA",pos
115,@MarkGlyman @HillaryClinton @realDonaldTrump she's not worried. The fix is in.  She will be the next president. UNFORTUNATELY,Heart of Virginia  ,neg
116,"After paying taxes all your life, @HillaryClinton  @HFA wants to take a percentage of what you left when u die! Not @realDonaldTrump","Florida, USA",neg
117,RT @dhaakenson: Washington Post: @HillaryClintons Colin Powell did it defense of her email practices is just plain wrong ,third rock,neg
118,@FoxNews @realDonaldTrump @HillaryClinton What policies? Was she elected President and I missed it ?,"Barnstable Town, MA",neg
119,RT @AZWS: @HouseGOP have detailed perjury allegations against @HillaryClinton ... s73ILMhQ #CorruptDem RT h4AXD,Proud to be Texan on the Front,neu
120,RT @Hillary2016Pres: It is past time for women to take their rightful place. @HillaryClinton #Hillary2016 #ImWithHer #GOPdebate , NJ transplant now in FL,neu
121,U.S. judge rules against @HillaryClinton giving sworn testimony over emails pF tyc,Bangalore,pos
122,"@EvaLongoria Enjoy my Parody of ""Popular"" supporting @HillaryClinton Hillary Parody Video Song ",USA,neu
123,That moment when @realDonaldTrump comes to Louisiana to visit the #Flood2016 forcing both #Obama &amp;@HillaryClinton to visit next week.,Louisiana,neu
124,"RT @mplay0000: @Able_49 
The Important thing is @HillaryClinton got her $$$$$$$$ ",South Carolina,neu
125,@FoxNews @HillaryClinton @realDonaldTrump stop with the African American bs. You'd put all in jail. Waiting for your full page ad,"New Albany, OH",neg
126,RT @anahwood: is this a secret female murderer club meeting ptoy,"New Hope, MS",neg
127,#WheresHillary CORRUPT #CrookedHillary @HillaryClinton is with Slimeball Bill trying to hide #ClintonFoundation cash p20yEsyMuR,United States of America,neg
128,"@RhonUSA were u an American here @keprdad @HillaryClinton @MicahGrimes  
sj2hQkV",United States ,neg
129,RT @Hillary2016Pres: It is past time for women to take their rightful place. @HillaryClinton #Hillary2016 #ImWithHer #GOPdebate ,"Terrell, TX",neu
130,"RT @morabitolee6: #BlameColinPowell @HillaryClinton well this certainly backfired on you HRC!!!!
thank you for more votes for TRUMP.. https","Florida, USA",pos
131,"Lost opporunity, @HillaryClinton. huUpP6Z","Norman, OK",neg
132,"@viciousbabushka @Cory_1077 @SandraTXAS @HillaryClinton That's not all he handed out, while Obama was golfing &amp; Hillary was sleeping.#trump","Belleville, IL",neu
133,@tennyman2 @FoxNews @realDonaldTrump @HillaryClinton @POTUS Gov doesn't produce jobs. Private enterprise does. That's why liberalism fails.,Georgia ,neg
134,"@celiakw21 @CNNPolitics How about a like inquiry of @HillaryClinton ?? The PEOPLE get it. Media should be investigated, too.",Manhattan~Mass~Mexico,neu
135,RT @nycjim: .@johnastoehr is up to No. 87 in his epic @HillaryClinton #doublestandard #sexism tweetstorm. Hoping he hits 100. ,"Butler, PA",pos
136,RT @hale_razor: Hi @HillaryClinton How much money has your Clinton Foundation donated to Louisiana flood relief? I hear it's a charity.,Depends on the day,pos
137,"@CNNSitRoom
Now @HillaryClinton wants to COMPLETELY DESTROY IT By Separating it Completely By Gender? If She Wins? It's Over. Black Women?",Hackensack NJ,neg
138,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:",TEXAS ,pos
139,"Retweeted Hillary Clinton (@HillaryClinton):

The flooding in Louisiana is worse than anyone expected, and they... ","San Antonio, Texas",neg
140,@realDonaldTrump Thank You for going to LA and helping. Already more of a POTUS than @POTUS and @HillaryClinton .,United States,neg
141,"With all due respect, voting 3rd party is like oissin' in the wind.
#futileattempt ",Gypsy,neg
142,@HillaryClinton Why do you take so many days off?are you sick.we are sick of your lies,"Agoura Hills, Ca",neg
143,@HillaryClinton SlickWilly wants to chase Whitehouse interns again!  #SlickWillyAndMonica,"North Pole, AK",neu
144,"RT @HillaryforPA: From good-paying jobs to college debt relief, @HillaryClinton has a plan to lift up Millennials. sFecOA","Penn Hills, PA ( Pittsburgh ) ",pos
145,"@JaeCreitch @stringfellow2  , @HillaryClinton is probably changer her diaper right now. #HillaryHealth",#MilitaryMonday #2A  #K9,neu
146,"He just makes shit up! And I'll put chocolate milk in the water fountains , if I'm your 6th grade President.  ","North Carolina, USA",neg
147,RT @GoDonaldTrump: @FoxNews @realDonaldTrump @HillaryClinton AMERICA! SHOW THE MEDIA HOW MUCH WE LOVE PRESIDENT TRUMP!LIKE AND RETWEET,"Jerseyville, IL",pos
148,This is what happens to you if your name isn't @HillaryClinton and you mess with classified information. tS,Rocky Mountains,neg
149,Their old advisor says she is using it to get sympathy from American voters. peerdThk,"Tucson, AZ",neg
150,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:",United States,pos
151,"@FoxNews @HillaryClinton uses african americans for votes, says founder of #BlackLivesMatter #ColinPowell",Midcoast Maine,neu
152,ask 12yr old rape victimn what she think of Hillary...or the GOLD STAR families that she lied to. Blamed video ! p,"New Jersey, USA",neg
153,"Fair and balanced. 
@realDonaldTrump @JudgeJeanine @HillaryClinton @TheFive @SenWarren @greta hitFqd",San Diego CA,neg
154,"RT @bfraser747:  LOUISIANA 
Why can't @HillaryClinton take some of that #ClintonCrimeFoundation money &amp; send some help to Louisiana https:","Mesa, AZ",pos
155,@DividendMaster @BarackObama @HillaryClinton must be up there kissing Soros' ring...,Atlanta,pos
156,"RT @Bikers4Trump: Is @HillaryClinton in Rehab for another Fall while Obama plays golf &amp; @realDonaldTrump Visits Flood Victims?
Join https:/",Chicago IL,pos
157,"RT @notalemming: 40,000 Americans displaced from the #LouisianaFlood &amp; what's @HillaryClinton's answer? 

60,000 more Syrian Refugees https",South-central PA,neu
158,"RT @Johnatsrs1949:  @HillaryClinton ""Champion For Women""

Except For This RAPED 12 Year Old Girl

Scumbag For President? No Thanks.
. http","Texas, USA",neg
159,"RT @JakeBlues23231: if  @SenJohnMcCain Had to release his in 2008, then @HillaryClinton needs to do the same. @ImChaunce ..WE WANT TRUTH ht","California, USA",neu
160,@HillaryClinton @billclinton rapist bill rhat bill twaty bill....ya no thanks,"yukon,ok",neg
161,RT @TeddyDavisCNN: Donald Trump just said that @HillaryClinton would rather give a job to a refugee than to an unemployed African American.,"Montgomery, AL",neu
162,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" h","San Francisco, CA",neu
163,"RT @Harlan: In @HillaryClinton's America, the system stays rigged.

Great new @realDonaldTrump ad: ","aurora, ON",pos
164,RT @sweetliltweet: It's BAD when @Ted_Strickland wants to help @HillaryClinton kill #SteelWork jobs in #Ohio. Share. ,the village,neg
165,"RT @RichardGrenell: Again, CBS' Big Brother mocks @HillaryClinton - this time for corruption. #Zingbot","San Anselmo, California",neu
166,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" .","Jerseyville, IL",neu
167,"RT @NolteNC: Lotta work for a bunch of gay crybabying. Lil priss doesnt think the MSMs been hard enuf on Trump. F*ck him.

 ","AK-Valley, PA",neg
168,What the MSM doesn't tell American is that with a @HillaryClinton potus comes a known terrorist group in @HumaAbedin ,Georgia/Florida  ,neg
169,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","San Francisco, CA",neu
170,RT @THEDOGPOUND1: @CohenTisha @KrisParonto @realDonaldTrump @HillaryClinton @HFA @FoxNews we don't play we tell the truth willing to Twitte,1 of 13 rebellious colonies,neg
171,"@SeamasBelfast @HillaryClinton @billclinton plus, his infamous 'wag the dog' episode where he bombed the pharmaceutical plant in Sudan.",Dublin,neg
172,RT @RealDJSlash: @HillaryClinton @BillClinton So which intern will he unwrap for his birthday gift?,"New Mexico, USA",neg
173,"@muddie880 @Supernutz40 @SOcean5 @FoxNews @HillaryClinton @ClintonFdn  He never said that   Ur a liar, about all those.",Paradise,neg
174,RT @PoliticalShort: Hey @HillaryClinton where'd that $6B go while you were SecofState? We're about to find out. hpaOjC9r htt,NC,neu
175,@brikeilarcnn who is he talking to???? Being  Black I'm Proud to say I'm with @HillaryClinton phe,"Cheverly, MD",neg
176,"RT @Bikers4Trump: Colin Powell Needs to Strongly Disavow the actions of @HillaryClinton &amp; endorse @realDonaldTrump!
#RETWEET
Join us @ http",Chicago IL,pos
177,Hrin Hein  I am a Santa Barbara  Crazy  Lady  @HillaryClinton  You Worng  My Name is @realDonaldTrump pf,Paris France,neu
178,RT @LoveMyTrump: Why doesn't ANYONE differentiate between an account and server. Colin Powell did not tell Hillary to set up a server https,"Cane Ridge, TN",neu
179,RT @RichardGrenell: CBS' Big Brother now mocks @HillaryClinton for deleting classified emails and having a private server. Wow.,"San Anselmo, California",pos
180,"RT @viciousbabushka: ""Real help"" like Play-Doh when they need foor &amp; water #tcot @ChristinaMann2 @Cory_1077 @SandraTXAS @HillaryClinton htt",The Desert of the SW,neu
181,"RT @markdaventry: .@HillaryClinton Claims Colin Powell advised her to use private email
Powell denies this.
So did she lie to the FBI?
#Hil",17870,neg
182,@HillaryClinton HOPEFULLY NOBODY CLOSE TO THIS ADMINISTRATION,United States,pos
183,@FoxNews @HillaryClinton boom.,"Los Angeles, CA",neu
184,"Did she?

@HillaryClinton #CrookedHillary t","Cheyenne, WY",neg
185,"RT @SatyanAgarwal: @CNNPolitics : Shouldn't FBI be investigating Clinton Fiundation and @HillaryClinton for Email Scandal, Bengazhi and Pay","columbia, md",neg
186,@HillaryClinton @billclinton @JohnStamos I share a birthday with two awesome guys! #leo #Aug19,MA,neg
187,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Republic Of Texas,neu
188,RT @CorrectRecord: .@PolitiFact rated the claim that @HillaryClinton is for open borders as False.  #TrumpLies,Madison WI,neu
189,@seenagoddess @HillaryClinton Did NOT Follow Powell's Advice NEVER send classified private email hhy,TEXAS,neu
190,"""America is great because America is good"" .. @HillaryClinton ",cedar park,neg
191,"RT @bfraser747: 1st Amendment 

@realDonaldTrump is far stronger than @HillaryClinton Dems want to give away control internet #MAGA https:",United States,pos
192,@RhonUSA were u an American here @keprdad @HillaryClinton @MicahGrimes pw3,United States ,neg
193,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" h",United States,neu
194,"RT @USAneedsTRUMP: @HillaryClinton @mattzap donating to your own foundation to avoid paying taxes, doesnt get any lower than that! https://","Harford County, Maryland",neg
195,"@rosenbergerlm @HillaryClinton @WSJ White helmets =safety 
SMART",somewhere,neg
196,RT @RichardGrenell: CBS' Big Brother is mocking @HillaryClinton's husband Bill Clinton and his intern sex scandal. Wow. Pop culture mocking,"San Anselmo, California",neg
197,I wish I could opt out of all @HillaryClinton emails mentioning Bill. I dislike Bill. I'm grumpy that Pres. HRC means First Spouse Bill.,Austin TX,neg
198,"@HillaryClinton foreign policy, you failed as Sec State. Terror rose, Russian foreign influence rose, Chinese foreign influence rose #fail","Alexandria, VA",neg
199,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer",Spain.,neu
200,"@CNNPolitics I am sure he will get stricter treatment than @HillaryClinton did when she lied to the american people and deleted 30,000 email",Missouri,neg
201,RT @Therealtdavis: #WheresHillary @HillaryClinton Currently dodging sniper fire in Syria,third rock,neg
202,@FoxNews @HillaryClinton You people are freaking crazy. She's. Been working for AA for 30 yrs while Trump has been discriminating for 40.,"Michigan, USA",neg
203,"@HillaryClinton going ""underground"" Italians style, just waiting it out... No press confrerences, let her #MSM machine handle it","San Diego, CA",neg
204,RT @jvgraz: Let's not kid ourselves. They're both covered in shit. sj,USA,neg
205,"RT @USAneedsTRUMP: @HillaryClinton @mattzap donating to your own foundation to avoid paying taxes, doesnt get any lower than that! https://","San Diego, CA",neg
206,"RT @FoxNews: .@realDonaldTrump: ""No group in America has been more harmed by @HillaryClinton's policies than African Americans."" .","Buffalo, NY",neu
207,"#WheresHillary
I wish @realDonaldTrump would visit @HillaryClinton to make sure she's OK, too.",Detroit,pos
208,RT @beyaself1: @HazamaYakiba @HillaryClinton More people have seen the Loch Ness Monster then heard @HillaryClinton tell the truth!,Palm Beach FL,pos
209,"RT @FoxNews: Trump: ""@HillaryClinton would rather provide a job to a refugee from overseas than to give that job to unemployed African Amer","Owens Cross Roads, Al",neu
210,@HillaryClinton was just repeating what Colin Powell told her when she said that Benghazi was caused by a youtube video.  #BlameColinPowell,"Greenwich, CT",neu
211,@HillaryClinton the devil himself inspired Trump,"Geraardsbergen, Belgi",neg
212,"RT @FoxNews: .@realDonaldTrump: ""@HillaryClinton wants to be America's Angela Merkel."" h","Tennessee, USA",neu
213,"@AnnaMull__ @HillaryClinton Spread some more fake bullshit you loser, already debunked 

",de_nuke,neg
214,"@dcexaminer 

@POTUS didn't ""botch"" anything..he doesn't need black votes anymore

@HillaryClinton is another story",United States of America,neu
215,@HillaryClinton Cut the BS. We all know your marriage is a sham.,"Your Street, USA",neg
216,Absolutely!  And @POTUS &amp; @HillaryClinton @PRyan want to invite MILLIONS more in2 the USA 4 political power over USA ,twitter,neg
217,@HFA @HillaryClinton our country is going down. If you could live for free here wouldn't you move here too? Too many coming to live free,"Las Vegas, NV ",pos
